,Labels(1=normal and -1=defect)
37,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1907_Q06.bmp,1
38,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2628_Q09.bmp,1
39,./prototype2_data/Shifting/shifting_0_8249.bmp,-1
40,./prototype2_data/Shifting/shifting_0_5046.bmp,-1
41,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4348_Q12.bmp,1
42,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3744_Q12.bmp,1
43,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2434_Q09.bmp,-1
44,./prototype2_data/Shifting/shifting_0_7457.bmp,1
45,./prototype2_data/Shifting/shifting_0_3883.bmp,-1
46,./prototype2_data/Shifting/shifting_0_9878.bmp,-1
47,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4061_Q03.bmp,1
48,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3627_Q09.bmp,1
49,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2297_Q09.bmp,1
50,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3817_Q09.bmp,1
51,./prototype2_data/Shifting/shifting_0_7588.bmp,-1
52,./prototype2_data/Shifting/shifting_0_6971.bmp,-1
53,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3510_Q09.bmp,1
54,./prototype2_data/Shifting/shifting_0_9968.bmp,1
55,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3974_Q03.bmp,1
56,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4198_Q06.bmp,1
57,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3433_Q12.bmp,1
58,./prototype2_data/Shifting/shifting_0_3641.bmp,-1
59,./prototype2_data/Shifting/shifting_0_5352.bmp,-1
60,./prototype2_data/Shifting/shifting_0_9665.bmp,-1
61,./prototype2_data/Shifting/shifting_0_2111.bmp,-1
62,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3978_Q03.bmp,1
63,./prototype2_data/Shifting/shifting_0_2225.bmp,1
64,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4018_Q09.bmp,1
65,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3827_Q09.bmp,1
66,./prototype2_data/Shifting/shifting_0_9642.bmp,-1
67,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2482_Q03.bmp,1
68,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2542_Q12.bmp,1
69,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1890_Q03.bmp,1
70,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1889_Q03.bmp,1
71,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3400_Q06.bmp,1
72,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1694_Q06.bmp,1
73,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3991_Q06.bmp,1
74,./prototype2_data/Shifting/shifting_0_3184.bmp,-1
75,./prototype2_data/Shifting/shifting_0_4579.bmp,-1
76,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4371_Q03.bmp,1
77,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2600_Q06.bmp,1
78,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2532_Q12.bmp,1
79,./prototype2_data/Shifting/shifting_0_2533.bmp,-1
80,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3855_Q12.bmp,1
81,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4272_Q06.bmp,1
82,./prototype2_data/Shifting/shifting_0_8459.bmp,-1
83,./prototype2_data/Shifting/shifting_0_3573.bmp,-1
84,./prototype2_data/Shifting/shifting_0_9901.bmp,-1
85,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4047_Q12.bmp,1
86,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4301_Q12.bmp,1
87,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2143_Q06.bmp,1
88,./prototype2_data/Shifting/shifting_0_7123.bmp,-1
89,./prototype2_data/Shifting/shifting_0_2784.bmp,-1
90,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4383_Q06.bmp,1
91,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3509_Q09.bmp,1
92,./prototype2_data/Shifting/shifting_0_9278.bmp,-1
93,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1584_Q09.bmp,1
94,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3442_Q12.bmp,1
95,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3443_Q12.bmp,1
96,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4079_Q03.bmp,1
97,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3468_Q03.bmp,1
98,./prototype2_data/Shifting/shifting_0_9937.bmp,-1
99,./prototype2_data/Shifting/shifting_0_5481.bmp,-1
100,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3466_Q03.bmp,1
101,./prototype2_data/Shifting/shifting_0_3284.bmp,-1
102,./prototype2_data/Shifting/shifting_0_2369.bmp,-1
103,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3955_Q12.bmp,1
104,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1869_Q09.bmp,1
105,./prototype2_data/Shifting/shifting_0_707.bmp,-1
106,./prototype2_data/Shifting/shifting_0_4427.bmp,-1
107,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1982_Q06.bmp,1
108,./prototype2_data/Shifting/shifting_0_5177.bmp,-1
109,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3775_Q03.bmp,1
110,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2836_Q12.bmp,1
111,./prototype2_data/Shifting/shifting_0_5318.bmp,-1
112,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3844_Q12.bmp,1
113,./prototype2_data/Shifting/shifting_0_584.bmp,-1
114,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1968_Q09.bmp,1
115,./prototype2_data/Shifting/shifting_0_2887.bmp,-1
116,./prototype2_data/Shifting/shifting_0_4392.bmp,-1
117,./prototype2_data/Shifting/shifting_0_7754.bmp,-1
118,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1465_Q03.bmp,1
119,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2593_Q06.bmp,1
120,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2863_Q09.bmp,1
121,./prototype2_data/Shifting/shifting_0_3384.bmp,-1
122,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2566_Q03.bmp,1
123,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3616_Q09.bmp,1
124,./prototype2_data/Shifting/shifting_0_2968.bmp,1
125,./prototype2_data/Shifting/shifting_0_2426.bmp,-1
126,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2471_Q12.bmp,1
127,./prototype2_data/Shifting/shifting_0_8899.bmp,-1
128,./prototype2_data/Shifting/shifting_0_5149.bmp,-1
129,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3663_Q03.bmp,1
130,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3007_Q03.bmp,1
131,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2144_Q06.bmp,1
132,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4162_Q03.bmp,1
133,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2101_Q06.bmp,1
134,./prototype2_data/Shifting/shifting_0_6394.bmp,-1
135,./prototype2_data/Shifting/shifting_0_31.bmp,-1
136,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1525_Q09.bmp,1
137,./prototype2_data/Shifting/shifting_0_1479.bmp,-1
138,./prototype2_data/Shifting/shifting_0_9858.bmp,-1
139,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2569_Q03.bmp,1
140,./prototype2_data/Shifting/shifting_0_1599.bmp,1
141,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3009_Q03.bmp,1
142,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3356_Q03.bmp,1
143,./prototype2_data/Shifting/shifting_0_8693.bmp,-1
144,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4246_Q09.bmp,1
145,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3360_Q03.bmp,1
146,./prototype2_data/Shifting/shifting_0_7411.bmp,-1
147,./prototype2_data/Shifting/shifting_0_7678.bmp,-1
148,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1835_Q12.bmp,1
149,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3542_Q12.bmp,1
150,./prototype2_data/Shifting/shifting_0_1115.bmp,-1
151,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2158_Q12.bmp,1
152,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3023_Q03.bmp,1
153,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3463_Q03.bmp,1
154,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2038_Q12.bmp,1
155,./prototype2_data/Shifting/shifting_0_7203.bmp,-1
156,./prototype2_data/Shifting/shifting_0_5864.bmp,-1
157,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4108_Q09.bmp,1
158,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1886_Q03.bmp,1
159,./prototype2_data/Shifting/shifting_0_6615.bmp,-1
160,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2008_Q12.bmp,-1
161,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_093_Q03.bmp,1
162,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4067_Q03.bmp,1
163,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1965_Q03.bmp,1
164,./prototype2_data/Shifting/shifting_0_1672.bmp,-1
165,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_059_Q06.bmp,-1
166,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1950_Q03.bmp,1
167,./prototype2_data/Shifting/shifting_0_8314.bmp,-1
168,./prototype2_data/Shifting/shifting_0_5487.bmp,-1
169,./prototype2_data/Shifting/shifting_0_8928.bmp,-1
170,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1801_Q06.bmp,1
171,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1755_Q12.bmp,1
172,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4276_Q06.bmp,-1
173,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4360_Q03.bmp,1
174,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3507_Q09.bmp,1
175,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2535_Q12.bmp,1
176,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_028_Q09.bmp,1
177,./prototype2_data/Shifting/shifting_0_5888.bmp,-1
178,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_069_Q06.bmp,1
179,./prototype2_data/Shifting/shifting_0_3211.bmp,-1
180,./prototype2_data/Shifting/shifting_0_6016.bmp,-1
181,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1669_Q09.bmp,1
182,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3480_Q03.bmp,1
183,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4049_Q12.bmp,1
184,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1998_Q03.bmp,-1
185,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3537_Q12.bmp,1
186,./prototype2_data/Shifting/shifting_0_7583.bmp,1
187,./prototype2_data/Shifting/shifting_0_1517.bmp,-1
188,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3376_Q03.bmp,1
189,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2493_Q03.bmp,1
190,./prototype2_data/Shifting/shifting_0_3263.bmp,-1
191,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3947_Q12.bmp,1
192,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4311_Q03.bmp,1
193,./prototype2_data/Shifting/shifting_0_739.bmp,1
194,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2222_Q06.bmp,1
195,./prototype2_data/Shifting/shifting_0_2947.bmp,-1
196,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1856_Q06.bmp,1
197,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2871_Q09.bmp,1
198,./prototype2_data/Shifting/shifting_0_8855.bmp,-1
199,./prototype2_data/Shifting/shifting_0_9936.bmp,-1
200,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2966_Q09.bmp,1
201,./prototype2_data/Shifting/shifting_0_3743.bmp,-1
202,./prototype2_data/Shifting/shifting_0_618.bmp,-1
203,./prototype2_data/Shifting/shifting_0_4173.bmp,-1
204,./prototype2_data/Shifting/shifting_0_4567.bmp,-1
205,./prototype2_data/Shifting/shifting_0_8248.bmp,-1
206,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4055_Q12.bmp,1
207,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4083_Q06.bmp,1
208,./prototype2_data/Shifting/shifting_0_6788.bmp,1
209,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2644_Q12.bmp,1
210,./prototype2_data/Shifting/shifting_0_1627.bmp,-1
211,./prototype2_data/Shifting/shifting_0_370.bmp,-1
212,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3686_Q06.bmp,1
213,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2419_Q09.bmp,1
214,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2375_Q03.bmp,1
215,./prototype2_data/Shifting/shifting_0_667.bmp,-1
216,./prototype2_data/Shifting/shifting_0_9737.bmp,-1
217,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3948_Q12.bmp,1
218,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_094_Q03.bmp,1
219,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3711_Q09.bmp,1
220,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1680_Q06.bmp,1
221,./prototype2_data/Shifting/shifting_0_5594.bmp,-1
222,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1580_Q09.bmp,1
223,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2299_Q03.bmp,1
224,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2916_Q03.bmp,1
225,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3965_Q03.bmp,1
226,./prototype2_data/Shifting/shifting_0_4144.bmp,-1
227,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2635_Q12.bmp,1
228,./prototype2_data/Shifting/shifting_0_3370.bmp,-1
229,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2975_Q09.bmp,1
230,./prototype2_data/Shifting/shifting_0_5535.bmp,-1
231,./prototype2_data/Shifting/shifting_0_7771.bmp,-1
232,./prototype2_data/Shifting/shifting_0_7620.bmp,-1
233,./prototype2_data/Shifting/shifting_0_8958.bmp,-1
234,./prototype2_data/Shifting/shifting_0_3688.bmp,1
235,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3916_Q09.bmp,1
236,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1673_Q09.bmp,1
237,./prototype2_data/Shifting/shifting_0_6883.bmp,-1
238,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4030_Q09.bmp,1
239,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2556_Q03.bmp,1
240,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3340_Q12.bmp,1
241,./prototype2_data/Shifting/shifting_0_3681.bmp,1
242,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3477_Q03.bmp,1
243,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1915_Q12.bmp,1
244,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3833_Q12.bmp,1
245,./prototype2_data/Shifting/shifting_0_2934.bmp,-1
246,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3750_Q12.bmp,1
247,./prototype2_data/Shifting/shifting_0_7331.bmp,-1
248,./prototype2_data/Shifting/shifting_0_3002.bmp,-1
249,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4119_Q09.bmp,1
250,./prototype2_data/Shifting/shifting_0_7230.bmp,-1
251,./prototype2_data/Shifting/shifting_0_5135.bmp,-1
252,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_076_Q03.bmp,1
253,./prototype2_data/Shifting/shifting_0_8730.bmp,1
254,./prototype2_data/Shifting/shifting_0_6023.bmp,-1
255,./prototype2_data/Shifting/shifting_0_4237.bmp,-1
256,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1608_Q03.bmp,1
257,./prototype2_data/Shifting/shifting_0_633.bmp,-1
258,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1785_Q06.bmp,1
259,./prototype2_data/Shifting/shifting_0_263.bmp,-1
260,./prototype2_data/Shifting/shifting_0_2525.bmp,-1
261,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2151_Q09.bmp,1
262,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2283_Q09.bmp,1
263,./prototype2_data/Shifting/shifting_0_2832.bmp,-1
264,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4035_Q12.bmp,1
265,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_021_Q12.bmp,1
266,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2970_Q09.bmp,1
267,./prototype2_data/Shifting/shifting_0_9307.bmp,-1
268,./prototype2_data/Shifting/shifting_0_2055.bmp,-1
269,./prototype2_data/Shifting/shifting_0_9638.bmp,-1
270,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4148_Q12.bmp,1
271,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1615_Q03.bmp,1
272,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3869_Q03.bmp,1
273,./prototype2_data/Shifting/shifting_0_4785.bmp,-1
274,./prototype2_data/Shifting/shifting_0_783.bmp,-1
275,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2121_Q09.bmp,1
276,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2716_Q03.bmp,-1
277,./prototype2_data/Shifting/shifting_0_2654.bmp,-1
278,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3524_Q09.bmp,1
279,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2405_Q06.bmp,1
280,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1471_Q03.bmp,1
281,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4220_Q09.bmp,1
282,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3619_Q09.bmp,1
283,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2184_Q12.bmp,1
284,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2791_Q06.bmp,1
285,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2694_Q06.bmp,1
286,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3752_Q12.bmp,1
287,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4207_Q09.bmp,1
288,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2453_Q09.bmp,1
289,./prototype2_data/Shifting/shifting_0_1762.bmp,-1
290,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2598_Q06.bmp,1
291,./prototype2_data/Shifting/shifting_0_3189.bmp,1
292,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2309_Q06.bmp,1
293,./prototype2_data/Shifting/shifting_0_6650.bmp,-1
294,./prototype2_data/Shifting/shifting_0_9965.bmp,-1
295,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1516_Q09.bmp,1
296,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1629_Q03.bmp,1
297,./prototype2_data/Shifting/shifting_0_5122.bmp,-1
298,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3781_Q06.bmp,1
299,./prototype2_data/Shifting/shifting_0_9845.bmp,-1
300,./prototype2_data/Shifting/shifting_0_1925.bmp,-1
301,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2828_Q03.bmp,1
302,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4091_Q06.bmp,1
303,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1476_Q03.bmp,1
304,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2187_Q12.bmp,1
305,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2998_Q06.bmp,1
306,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4038_Q12.bmp,1
307,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2447_Q09.bmp,1
308,./prototype2_data/Shifting/shifting_0_9956.bmp,-1
309,./prototype2_data/Shifting/shifting_0_1535.bmp,-1
310,./prototype2_data/Shifting/shifting_0_7480.bmp,-1
311,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1793_Q06.bmp,1
312,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4258_Q06.bmp,1
313,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3920_Q09.bmp,1
314,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2927_Q03.bmp,1
315,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1798_Q06.bmp,1
316,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4290_Q12.bmp,1
317,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_039_Q09.bmp,1
318,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3530_Q09.bmp,1
319,./prototype2_data/Shifting/shifting_0_620.bmp,1
320,./prototype2_data/Shifting/shifting_0_3104.bmp,-1
321,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2543_Q12.bmp,1
322,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3444_Q12.bmp,1
323,./prototype2_data/Shifting/shifting_0_8961.bmp,-1
324,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3546_Q12.bmp,1
325,./prototype2_data/Shifting/shifting_0_8233.bmp,-1
326,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2605_Q06.bmp,1
327,./prototype2_data/Shifting/shifting_0_6137.bmp,-1
328,./prototype2_data/Shifting/shifting_0_6523.bmp,-1
329,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3003_Q06.bmp,1
330,./prototype2_data/Shifting/shifting_0_7559.bmp,-1
331,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2781_Q06.bmp,1
332,./prototype2_data/Shifting/shifting_0_8572.bmp,-1
333,./prototype2_data/Shifting/shifting_0_5127.bmp,-1
334,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1960_Q03.bmp,1
335,./prototype2_data/Shifting/shifting_0_1978.bmp,-1
336,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4128_Q09.bmp,-1
337,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3562_Q03.bmp,1
338,./prototype2_data/Shifting/shifting_0_8026.bmp,-1
339,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3913_Q09.bmp,1
340,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3856_Q03.bmp,1
341,./prototype2_data/Shifting/shifting_0_9379.bmp,-1
342,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3450_Q12.bmp,1
343,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2634_Q12.bmp,1
344,./prototype2_data/Shifting/shifting_0_9391.bmp,-1
345,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2622_Q09.bmp,1
346,./prototype2_data/Shifting/shifting_0_9941.bmp,-1
347,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2077_Q03.bmp,1
348,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3860_Q03.bmp,1
